Sl.No,Course Code,Course Name,AS,AA,AB,BB,BC,CC,CD,DD,FA,FD,FP,I,NP,PP,Grand Total,HoD,Hardcopy Received
277,EE 252,Measurement and Instrumentation,3,30,59,43,20,11,8,4,0,0,3,0,0,0,181,Forwarded,Yes
278,EE 253,Instrumentation Laboratory,0,36,52,62,15,11,6,0,0,0,0,0,0,0,182,Forwarded,Yes
279,EE 313,Microelectronics Laboratory,0,3,18,49,27,8,5,4,1,0,0,0,0,0,115,Forwarded,Yes
280,EE 322M,Signal Processing,0,2,1,6,7,6,0,0,0,0,1,0,0,0,23,Forwarded,Yes
281,EE 332,Digital Communication,1,13,16,34,18,15,12,3,0,0,1,1,0,0,114,Forwarded,Yes
282,EE 333,Communication and DSP Laboratory,1,31,54,23,3,0,0,0,0,0,1,0,0,0,113,Forwarded,Yes
283,EE 334,Computer networks,1,10,28,39,12,18,1,2,0,0,1,1,0,0,113,Forwarded,Yes
284,EE 336,Modelling and Simulation of Stochastic Systems,1,7,3,1,0,0,0,0,0,0,0,0,0,0,12,Forwarded,No
285,EE 337,Fundamentals of Wireless Communications,0,2,0,1,1,0,0,0,1,0,0,0,0,0,5,Forwarded,Yes
286,EE 339,Blockchain Science and Technology,0,16,22,36,29,15,0,0,0,0,0,1,0,0,119,Forwarded,Yes
287,EE 352,Advanced Control System,3,25,36,38,27,13,6,3,1,0,0,1,0,8,161,Forwarded,No
288,EE 360,Power Electronics,2,4,8,22,14,9,4,1,0,0,0,0,0,0,64,Forwarded,Yes
289,EE 370,Electrical Power Systems,0,0,4,16,20,12,4,2,0,0,9,0,0,0,67,Forwarded,Yes
290,EE 371,Advanced Electrical Engg Lab,0,15,21,24,4,1,0,0,0,0,0,0,0,0,65,Forwarded,Yes
291,EE 381,Electrical Machines Lab,0,21,27,14,3,0,0,0,0,0,0,0,0,0,65,Forwarded,Yes
292,EE 390,Data structure and algorithms,1,21,47,69,32,3,0,0,0,0,1,1,0,3,178,Forwarded,Yes
293,EE 396,Design Lab,0,19,32,10,0,0,0,0,0,0,0,0,0,0,61,Forwarded,Yes
294,EE 399,BTP II (New Curriculum),0,1,5,0,0,0,0,0,4,0,0,0,0,0,10,Forwarded,Yes
295,EE 499,B. Tech Project-IV,0,2,16,6,3,1,0,0,1,0,0,0,0,0,29,Forwarded,Yes
296,EE 512,Analog IC Design,0,4,5,15,2,0,0,0,3,1,0,0,3,0,33,Forwarded,No
297,EE 515,Foundation of VLSI architectures,1,4,2,4,3,3,1,0,3,0,0,0,4,0,25,Forwarded,Yes
298,EE 516,System hardware design,0,4,4,8,1,1,0,0,3,0,0,0,0,0,21,Forwarded,Yes
299,EE 517,Analog VLSI Lab,0,6,7,2,0,0,0,0,3,0,0,0,0,0,18,Forwarded,No
300,EE 521,Digital Signal Processing Lab,1,8,4,1,0,0,0,0,1,0,0,0,0,0,15,Forwarded,Yes
301,EE 522,Statistical Signal Processing,0,4,4,3,2,0,2,0,0,0,1,0,0,0,16,Forwarded,Yes
302,EE 525,Advanced Topics in Machine Learning,0,2,3,4,6,0,0,0,1,0,0,0,0,1,17,Forwarded,Yes
303,EE 526,Machine Learning,1,5,4,7,4,2,0,0,1,0,0,0,0,0,24,Forwarded,Yes
304,EE 527,Machine Learning Laboratory,1,7,6,2,1,2,0,1,1,0,0,0,0,0,21,Forwarded,Yes
305,EE 533,Wireless Communications,0,0,1,2,3,5,2,1,0,0,0,0,0,0,14,Forwarded,Yes
306,EE 535,Data Communication Network,0,1,1,6,3,3,0,0,0,0,0,0,0,0,14,Forwarded,Yes
307,EE 536,Wireless Communications Design Lab,0,3,5,4,2,0,0,0,0,0,0,0,0,0,14,Forwarded,Yes
308,EE 540,Advance Electromagnetic Theory  and  Antennas,0,2,1,3,2,1,0,1,0,0,0,0,0,0,10,Forwarded,No
